α	Pr	α
μία	a-s---fn-	εἷς
μία	a-s---fd-	εἷς
μία	Ma	εἷς
μίαν	a-s---fa-	εἷς
μίαν	Ma	εἷς
μίαν	p-s---fa-	εἷς
μιᾶς	Ma	εἷς
μιᾶς	a-s---fg-	εἷς
Μιᾶς	a-s---fg-	εἷς
εἰσακούσας	V-	εἰσακούω
εἵσατ	V-	εἵσατ
εἴσιθ	V-	εἴσιθ
ἃκ	r--------	ἐκ
κἀκ	r--------	ἐκ
Κἀκ	r--------	ἐκ
κἀξ	r--------	ἐκ
ἑκάστῃ	A-	ἕκαστος
ἐκβαλεῖ	V-	ἐκβαλεῖ
ἐκβάλλεθ	V-	ἐκβάλλεθ
ἐκβάλληι	V-	ἐκβάλληι
ἐκβαλλόντων	V-	ἐκβαλλόντων
ἐκβαλεῖν	V-	ἐκβάλλω
ἐκβολὰν	n-s---fa-	ἐκβολή
ἐκβολὰς	n-p---fa-	ἐκβολή
ἐκδέτας	n-p---ma-	ἐκδέτης
ἐκδήσαντες	v-papamn-	ἐκδήω
ἐκδίδασκε	V-	ἐκδιδάσκω
ἐκδιδάσκει	V-	ἐκδιδάσκω
κἀκεῖ	d--------	ἐκεῖ
κἀκεῖθεν	d--------	ἐκεῖθεν
τἀκεῖθεν	d--------	ἐκεῖθεν
κἀκεῖνο	a-s---na-	ἐκεῖνο
κἀκεῖνό	a-s---ma-	ἐκεῖνό
ἐκείνας	a-p---fa-	ἐκεῖνος
κἀκεῖνος	a-s---mn-	ἐκεῖνος
Κἀκεῖνος	a-s---mn-	ἐκεῖνος
κείνας	a-p---fa-	ἐκεῖνος
τἀκείνου	a-s---ng-	ἐκεῖνος
τἀκείνου	a-s---mg-	ἐκεῖνος
κἀκεῖσ	d--------	ἐκεῖσ
κἀκεῖσε	d--------	ἐκεῖσε
ἐκκέαντες	v-papamn-	ἐκκέω
ἐκκλέψας	v2saia---	ἐκκλέπτω
ἐκλελοιπότα	V-	ἐκλελοιπότα
ἑκόντι	V-	ἑκόντι
ἑκουσία	A-	ἑκουσίος
ἑκουσίας	A-	ἑκουσῖος
ἑκουσίωι	A-	ἑκουσίωι
ἐκπέμψας	v-sapamn-	ἐκπέμπω
ἐκπεφυκότι	V-	ἐκπεφυκότι
ἐκπλήσας	v-sapamn-	ἐκπλέω
ἐκπρεπέστατος	a-s---mns	ἐκπρεπέσς
